"","month","name","item","price.mean"
"1","2011-01","닭고기",515,5517.80864366827
"2","2011-01","돼지고기",514,1780.31308155446
"3","2011-01","배추",211,4728.41127258984
"4","2011-01","사과",411,27870.3261183261
"5","2011-01","상추",214,640.24791369958
"6","2011-01","쌀",111,41286.3492063492
"7","2011-01","양파",245,2000.26666666667
"8","2011-01","참깨 ",312,12075.5555555556
"9","2011-01","파프리카",256,1025.01979782973
"10","2011-01","호박",224,1444.73663134799
"11","2011-02","닭고기",515,6612.11368441448
"12","2011-02","돼지고기",514,2131.66666666667
"13","2011-02","배추",211,4804.51812240048
"14","2011-02","사과",411,28694.1764705882
"15","2011-02","상추",214,641.915868402697
"16","2011-02","쌀",111,41957.4509803922
"17","2011-02","양파",245,2254.59513184584
"18","2011-02","참깨 ",312,11934.1176470588
"19","2011-02","파프리카",256,1079.08519269777
"20","2011-02","호박",224,1544.8937688464
"21","2011-03","닭고기",515,6983.20095520422
"22","2011-03","돼지고기",514,1899.86363636364
"23","2011-03","배추",211,4683.77828610783
"24","2011-03","사과",411,27635.0816607635
"25","2011-03","상추",214,616.661935120114
"26","2011-03","쌀",111,42763.8636363636
"27","2011-03","양파",245,2180.59242424242
"28","2011-03","참깨 ",312,11814.5454545455
"29","2011-03","파프리카",256,1008.66457680251
"30","2011-03","호박",224,1461.14493419039
"31","2011-04","닭고기",515,6911.10075914424
"32","2011-04","돼지고기",514,1958.79365079365
"33","2011-04","배추",211,3301.39697178828
"34","2011-04","사과",411,26181.8853741497
"35","2011-04","상추",214,589.196553526988
"36","2011-04","쌀",111,44331.3727422003
"37","2011-04","양파",245,1635.31799531073
"38","2011-04","참깨 ",312,11812
"39","2011-04","파프리카",256,988.894909688013
"40","2011-04","호박",224,1090.38725119677
"41","2011-05","닭고기",515,6004.34866600791
"42","2011-05","돼지고기",514,2138.15
"43","2011-05","배추",211,1430.53268761368
"44","2011-05","사과",411,26041.1428571429
"45","2011-05","상추",214,666.419912118409
"46","2011-05","쌀",111,44702.1666666667
"47","2011-05","양파",245,1313.5332183908
"48","2011-05","참깨 ",312,11812
"49","2011-05","파프리카",256,885.410344827586
"50","2011-05","호박",224,1060.3565597575
"51","2011-06","닭고기",515,5242.31718220052
"52","2011-06","돼지고기",514,2459.93322386426
"53","2011-06","배추",211,1216.76659222966
"54","2011-06","사과",411,26796.5126606198
"55","2011-06","상추",214,631.580831608005
"56","2011-06","쌀",111,45076.5555555556
"57","2011-06","양파",245,1190.54668856048
"58","2011-06","참깨 ",312,11812
"59","2011-06","파프리카",256,849.520470717022
"60","2011-06","호박",224,1196.713789588
"61","2011-07","닭고기",515,5971.54648854711
"62","2011-07","돼지고기",514,2359.5873015873
"63","2011-07","배추",211,2268.42894362996
"64","2011-07","사과",411,27567.8968253968
"65","2011-07","상추",214,1298.17975265632
"66","2011-07","쌀",111,44678.9365079365
"67","2011-07","양파",245,1383.31904761905
"68","2011-07","참깨 ",312,11812
"69","2011-07","파프리카",256,891.475587159906
"70","2011-07","호박",224,1709.30310153646
"71","2011-08","닭고기",515,6314.08891478891
"72","2011-08","돼지고기",514,2151.65151515152
"73","2011-08","배추",211,4051.22089400498
"74","2011-08","사과",411,23466.6795288045
