,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
1일,1.6,-4.9,-1.7,14.1,18.4,22.7,24.3,28.3,23.7,20.3,2.4,4.9
2일,5.8,-4.7,3.4,14.2,20.6,22.6,23.6,27.7,24.1,19.1,4.1,1.5
3일,6,-2.7,7.8,11.3,13.6,21.9,23,29.2,24.3,22.7,8.3,3.3
4일,3.7,0,13.1,12.3,15.9,20.6,22.2,28.9,26.2,22,11.5,4.7
5일,-1.1,-1.7,11.9,11.1,18.7,23.6,24.1,29.8,26.6,20.6,14.2,6.8
6일,-0.7,-2.3,8.2,14.4,16.5,22.4,22.5,29.6,24.1,17.7,14.8,-0.5
7일,-1.8,-2.9,8.6,13.6,15.4,21.9,23.6,29.1,23.8,19.1,13.5,2.2
8일,-1.5,2,3.7,10.9,18.5,21.2,26.8,29.3,22.7,17.4,5.3,2.8
9일,0.2,1.2,1.8,12.2,20.3,22.6,26.8,29.6,23.1,11.8,2.8,2.3
10일,1.5,2.4,0.6,13.1,15.2,23.4,26.6,29,23.5,12.9,6.8,-0.7
11일,-2,8.5,0.6,12.9,16.6,24,28,29.6,23.9,14.7,8.7,-1.5
12일,-3.8,9.5,2.4,14.2,17.5,23.4,25.5,28.9,24.5,15.3,10.4,2.5
13일,-2.9,11.8,4,15,17.7,22.3,25.4,29.6,24.3,14.2,13.7,2.6
14일,-3.5,-1.4,4.9,10.7,19.7,22.9,26.5,29.3,23.6,15.5,13.5,-0.6
15일,-0.3,-4.5,5.1,14.4,17.5,20.9,26.1,28.8,23,17.9,6.5,-3.5
16일,1.7,-2.1,7.5,14.9,15.6,20.9,21.3,29,23.5,17,5.2,-3.6
17일,2.5,0.4,9,11.4,18.4,23.3,21.6,29,21.9,17.5,8,3.5
18일,-4.7,3.9,13,11.2,21.1,23.8,23.9,29.6,23.4,15,9.7,5.2
19일,-10.5,1.9,10.2,12,23.1,24.3,26.8,30,21.6,16.7,12.8,7.4
20일,-9,2.4,8.6,14.2,23.1,25.1,28.6,30.6,20.3,17.4,10.6,6.1
21일,-5.8,0.4,8.7,14.4,23.6,25.3,27.9,30.5,19.4,17.6,9.5,8.3
22일,-5.8,2.2,7.5,14.7,23.5,25.2,29.3,29.3,21.1,17.8,3.5,6.2
23일,-9.5,1.5,8.7,13.9,22.4,25,28.9,28.9,20.8,13.6,-0.2,-1
24일,-12.6,-2.3,6.8,14.7,16.4,22.4,28.7,29.2,21.6,15.1,-0.8,-1.6
25일,-8.2,0.6,6.1,16.4,19.4,22.4,28.5,27.9,21.9,13.9,1.3,1.3
26일,-2.8,3.4,5.4,20.4,19.7,23.6,28.1,22.6,23,12.5,1.1,3.3
27일,-0.7,2.9,6.5,17.5,21.1,24.1,27.6,23.5,21.1,14.5,4.2,-0.9
28일,0.2,1.6,9.2,16.5,20.1,24.4,27.9,21.3,20.4,14.5,2.4,-3.3
29일,2,-2.4,11.3,15.3,20.3,24.6,25.8,21.9,20.3,8.5,1.4,-3.1
30일,0.6,,11.3,16.5,21.2,24.7,28.6,21,20.1,7.1,6.2,-3.3
31일,-2.6,,13.1,,20.7,,29,18.8,,6.6,,0.8
평균,-2.1,0.9,7,13.9,19.1,23.2,26,27.7,22.7,15.7,7,1.7
